epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,489.368,1.75346,3.12797,1.31075,0.21856,0.32655,0.19948,0.11471,1.49612,2.29869,1.22859,0.000158236,0.000158236,0.000158236
2,654.927,1.36139,1.84041,1.14912,0.37934,0.41362,0.36988,0.23133,1.31828,1.86403,1.17586,0.000310628,0.000310628,0.000310628
3,809.016,1.25068,1.41108,1.10647,0.4439,0.42357,0.41205,0.25905,1.3242,1.87017,1.18561,0.000456736,0.000456736,0.000456736
4,962.802,1.19892,1.18635,1.08214,0.46462,0.42561,0.43712,0.26467,1.39373,1.82987,1.21682,0.000447726,0.000447726,0.000447726
5,1115.95,1.14168,1.04176,1.0618,0.52305,0.45943,0.47955,0.31048,1.28698,1.66906,1.16002,0.000438301,0.000438301,0.000438301
6,1265.91,1.10882,0.94784,1.04727,0.54805,0.46192,0.49592,0.32924,1.23073,1.65689,1.13394,0.000428876,0.000428876,0.000428876
7,1430.59,1.07675,0.88009,1.03468,0.51589,0.4388,0.46498,0.30333,1.25853,1.71065,1.15669,0.000419451,0.000419451,0.000419451
8,1577.6,1.05797,0.83784,1.02559,0.52543,0.48235,0.50574,0.33743,1.20396,1.60463,1.12607,0.000410026,0.000410026,0.000410026
9,1730.57,1.03715,0.79604,1.01911,0.51231,0.47006,0.48843,0.32524,1.22034,1.62813,1.13637,0.000400602,0.000400602,0.000400602
10,1882.85,1.0218,0.76662,1.01234,0.53902,0.48173,0.51276,0.34876,1.17947,1.57335,1.11568,0.000391177,0.000391177,0.000391177
11,2034.24,1.01059,0.74638,1.01053,0.51097,0.45708,0.47751,0.32085,1.20114,1.62555,1.12768,0.000381752,0.000381752,0.000381752
12,2219.31,0.99835,0.72451,1.00527,0.51652,0.46194,0.48511,0.33253,1.17046,1.6532,1.11474,0.000372327,0.000372327,0.000372327
13,2360.25,0.98601,0.70782,1.00172,0.54013,0.49445,0.51299,0.35075,1.17653,1.55645,1.11472,0.000362902,0.000362902,0.000362902
14,2509.82,0.9756,0.68926,0.99758,0.55234,0.45867,0.50559,0.34271,1.187,1.57162,1.1199,0.000353478,0.000353478,0.000353478
15,2657.88,0.96739,0.677,0.99361,0.54739,0.48558,0.51813,0.35417,1.16298,1.55005,1.10787,0.000344053,0.000344053,0.000344053
16,2806.88,0.95724,0.66149,0.98942,0.55677,0.48476,0.50775,0.3474,1.16929,1.60421,1.11828,0.000334628,0.000334628,0.000334628
17,2956.69,0.95349,0.65273,0.98719,0.56395,0.47218,0.51895,0.3589,1.16338,1.55965,1.11199,0.000325203,0.000325203,0.000325203
18,3107.75,0.94854,0.64365,0.98481,0.55731,0.47981,0.51931,0.3553,1.17752,1.55045,1.12374,0.000315778,0.000315778,0.000315778
19,3286,0.93848,0.63166,0.98182,0.55387,0.47879,0.51314,0.35472,1.14767,1.57502,1.10471,0.000306354,0.000306354,0.000306354
20,3432.37,0.93301,0.62582,0.98018,0.54857,0.48707,0.51081,0.34906,1.16926,1.55559,1.11761,0.000296929,0.000296929,0.000296929
21,3578.67,0.92562,0.61726,0.97766,0.53293,0.4981,0.51447,0.35494,1.14844,1.54411,1.10707,0.000287504,0.000287504,0.000287504
22,3721.54,0.92227,0.61105,0.97488,0.56003,0.47411,0.51174,0.35576,1.14668,1.59287,1.10581,0.000278079,0.000278079,0.000278079
23,3879.78,0.91569,0.60108,0.97425,0.53773,0.48306,0.50822,0.35075,1.16411,1.58184,1.11546,0.000268654,0.000268654,0.000268654
24,4033.83,0.91169,0.59518,0.97008,0.56039,0.48603,0.51605,0.35755,1.14677,1.56998,1.10609,0.00025923,0.00025923,0.00025923
25,4187.27,0.90595,0.59004,0.96902,0.55242,0.48116,0.5109,0.35504,1.14383,1.55158,1.10491,0.000249805,0.000249805,0.000249805
26,4327.63,0.90324,0.58644,0.96763,0.55184,0.48131,0.51354,0.3519,1.17308,1.56126,1.11636,0.00024038,0.00024038,0.00024038
27,4474.45,0.89718,0.57878,0.96509,0.55117,0.47998,0.50691,0.35389,1.1404,1.58413,1.10498,0.000230955,0.000230955,0.000230955
