epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,492.548,1.71622,3.05501,1.28727,0.19243,0.29623,0.1845,0.10605,1.52382,2.4595,1.25277,0.000158265,0.000158265,0.000158265
2,671.014,1.32107,1.74734,1.13553,0.26197,0.35383,0.25533,0.15126,1.44402,2.22101,1.25425,0.000310656,0.000310656,0.000310656
3,836.902,1.21351,1.3572,1.09249,0.29275,0.35344,0.25631,0.14522,1.46511,2.36253,1.26877,0.000456765,0.000456765,0.000456765
4,1001.65,1.15905,1.14988,1.07055,0.35872,0.34554,0.30618,0.19046,1.37155,2.22253,1.21728,0.000447726,0.000447726,0.000447726
5,1216.9,1.11098,1.01009,1.0521,0.3612,0.37447,0.32333,0.20208,1.36808,2.13205,1.23027,0.000438301,0.000438301,0.000438301
6,1386.94,1.07499,0.91642,1.03854,0.39916,0.32589,0.32393,0.20115,1.35843,2.16344,1.21431,0.000428876,0.000428876,0.000428876
7,1554.7,1.05256,0.85642,1.02955,0.38079,0.35371,0.33306,0.20779,1.37272,2.13543,1.21686,0.000419451,0.000419451,0.000419451
8,1719.7,1.02902,0.80823,1.01928,0.39753,0.33356,0.33079,0.20837,1.3587,2.08769,1.22176,0.000410026,0.000410026,0.000410026
9,1894.88,1.01148,0.776,1.01285,0.37545,0.36746,0.34557,0.21934,1.35272,2.07175,1.21031,0.000400602,0.000400602,0.000400602
10,2057.58,0.99612,0.7503,1.00768,0.37276,0.37037,0.33006,0.20727,1.34635,2.09926,1.21495,0.000391177,0.000391177,0.000391177
11,2224.18,0.98669,0.72451,1.00325,0.39996,0.37104,0.35305,0.22642,1.31879,2.04902,1.20431,0.000381752,0.000381752,0.000381752
12,2378.37,0.97456,0.70561,0.99884,0.39692,0.37402,0.36506,0.23545,1.32342,2.00852,1.19814,0.000372327,0.000372327,0.000372327
13,2542.77,0.96514,0.6919,0.99639,0.39614,0.34872,0.34169,0.2183,1.3226,2.05749,1.19932,0.000362902,0.000362902,0.000362902
14,2703.54,0.95478,0.67569,0.98962,0.41822,0.38908,0.37327,0.24047,1.31667,1.99877,1.20197,0.000353478,0.000353478,0.000353478
15,2871.17,0.94609,0.66035,0.9864,0.41671,0.37475,0.36971,0.23655,1.3249,1.99588,1.19782,0.000344053,0.000344053,0.000344053
16,3015.72,0.93924,0.65119,0.98061,0.38801,0.37822,0.34926,0.22338,1.30839,2.04724,1.18993,0.000334628,0.000334628,0.000334628
17,3174.48,0.93049,0.63892,0.97774,0.38699,0.37759,0.34671,0.21974,1.33148,2.03611,1.19594,0.000325203,0.000325203,0.000325203
18,3325.08,0.92296,0.62783,0.97471,0.40768,0.38411,0.35926,0.23197,1.31065,2.03755,1.1861,0.000315778,0.000315778,0.000315778
19,3497.44,0.91589,0.61805,0.97334,0.4004,0.37568,0.35316,0.22958,1.29822,2.06885,1.17708,0.000306354,0.000306354,0.000306354
20,3648.91,0.91136,0.60995,0.96998,0.38428,0.37288,0.34927,0.22628,1.30411,2.05732,1.17916,0.000296929,0.000296929,0.000296929
21,3796.33,0.90331,0.60185,0.96798,0.38601,0.37592,0.35251,0.22881,1.30412,2.07934,1.17702,0.000287504,0.000287504,0.000287504
22,3958.62,0.90161,0.59434,0.96526,0.40002,0.37706,0.36395,0.23795,1.28567,2.01828,1.17766,0.000278079,0.000278079,0.000278079
23,4108.02,0.89427,0.58538,0.96159,0.41516,0.35653,0.36172,0.23571,1.30037,2.02502,1.17862,0.000268654,0.000268654,0.000268654
24,4277.7,0.8896,0.58129,0.96078,0.38747,0.38211,0.35524,0.23123,1.28676,2.0457,1.17236,0.00025923,0.00025923,0.00025923
