epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,433.755,1.73114,3.09406,1.29959,0.20101,0.30328,0.18995,0.11551,1.32476,4.49254,1.09222,0.00015825,0.00015825,0.00015825
2,606.111,1.34174,1.79824,1.14389,0.38556,0.40992,0.36051,0.21197,1.30987,5.52057,1.12057,0.000310642,0.000310642,0.000310642
3,776.457,1.2332,1.39387,1.10177,0.44,0.43847,0.42501,0.26912,1.20272,5.55994,1.06096,0.00045675,0.00045675,0.00045675
4,923.442,1.18122,1.18809,1.07756,0.5468,0.45423,0.49044,0.31193,1.18817,4.62751,1.06016,0.000447726,0.000447726,0.000447726
5,1075.9,1.13177,1.04453,1.05777,0.53085,0.45542,0.48234,0.31383,1.15621,5.20164,1.04912,0.000438301,0.000438301,0.000438301
6,1264.04,1.09399,0.95188,1.04151,0.53796,0.47144,0.49562,0.30748,1.22136,4.19314,1.07457,0.000428876,0.000428876,0.000428876
7,1425.69,1.07067,0.88603,1.03112,0.59252,0.50663,0.54784,0.36047,1.14128,3.62329,1.03809,0.000419451,0.000419451,0.000419451
8,1594.6,1.04797,0.84089,1.02163,0.5565,0.48995,0.52383,0.33995,1.1758,5.61008,1.05476,0.000410026,0.000410026,0.000410026
9,1754.96,1.02847,0.80287,1.01525,0.61869,0.49873,0.54833,0.3612,1.12832,4.73081,1.02939,0.000400602,0.000400602,0.000400602
10,1936.65,1.01487,0.77532,1.00914,0.57102,0.50446,0.53454,0.35186,1.13645,5.29933,1.04106,0.000391177,0.000391177,0.000391177
11,2105.49,1.00036,0.7495,1.00263,0.58274,0.48868,0.54,0.35767,1.1373,5.47866,1.03798,0.000381752,0.000381752,0.000381752
12,2250.9,0.98875,0.7301,0.9971,0.56991,0.50023,0.53662,0.35827,1.10889,5.37642,1.02213,0.000372327,0.000372327,0.000372327
