epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,556.304,1.73237,3.07396,1.30097,0.22687,0.34953,0.21596,0.12998,1.32927,2.41232,1.12865,0.00015825,0.00015825,0.00015825
2,723.621,1.33837,1.77595,1.14362,0.38352,0.37666,0.35485,0.21443,1.24222,2.85218,1.1053,0.000310642,0.000310642,0.000310642
3,901.964,1.23914,1.38437,1.10562,0.43285,0.42695,0.41583,0.25831,1.22486,2.28761,1.09291,0.00045675,0.00045675,0.00045675
4,1062.52,1.18261,1.1687,1.08234,0.47905,0.43673,0.44562,0.28203,1.18767,1.95301,1.09053,0.000447726,0.000447726,0.000447726
5,1231.48,1.12819,1.02313,1.06084,0.4912,0.46026,0.46819,0.30165,1.18375,2.58548,1.07824,0.000438301,0.000438301,0.000438301
6,1409.49,1.09519,0.93384,1.04808,0.50541,0.45534,0.48586,0.3179,1.14973,1.82726,1.0799,0.000428876,0.000428876,0.000428876
7,1613.56,1.06944,0.86913,1.03689,0.5073,0.49115,0.49706,0.31941,1.16269,2.488,1.08921,0.000419451,0.000419451,0.000419451
8,1777,1.0457,0.8263,1.02607,0.50242,0.44496,0.48719,0.32014,1.14516,1.81436,1.07316,0.000410026,0.000410026,0.000410026
9,1954.71,1.02975,0.78757,1.02027,0.49424,0.49478,0.48908,0.32258,1.15046,2.1587,1.07621,0.000400602,0.000400602,0.000400602
10,2119.03,1.01538,0.76112,1.0142,0.52049,0.45993,0.47867,0.31897,1.12735,2.48865,1.06943,0.000391177,0.000391177,0.000391177
11,2282.99,1.00147,0.73767,1.01019,0.53722,0.46551,0.48947,0.32708,1.13598,1.84743,1.07435,0.000381752,0.000381752,0.000381752
12,2432.05,0.99313,0.71923,1.00658,0.55826,0.47812,0.49987,0.33493,1.1119,1.97136,1.05928,0.000372327,0.000372327,0.000372327
13,2588.59,0.9817,0.70482,1.00387,0.55317,0.48328,0.50305,0.33595,1.12845,1.8558,1.05971,0.000362902,0.000362902,0.000362902
14,2742.96,0.9734,0.69005,1.00008,0.53071,0.48463,0.492,0.32883,1.10528,1.9128,1.05556,0.000353478,0.000353478,0.000353478
15,2905.1,0.96457,0.67541,0.99481,0.55346,0.4753,0.50016,0.32728,1.16307,1.96942,1.09376,0.000344053,0.000344053,0.000344053
16,3052.96,0.95751,0.66249,0.9928,0.53405,0.48548,0.49876,0.33029,1.13082,1.82859,1.06829,0.000334628,0.000334628,0.000334628
17,3213.99,0.94977,0.6488,0.98779,0.53263,0.48666,0.49958,0.33382,1.11328,1.83595,1.05873,0.000325203,0.000325203,0.000325203
18,3363.8,0.94293,0.64074,0.98713,0.55826,0.48237,0.514,0.34472,1.12228,1.94192,1.06398,0.000315778,0.000315778,0.000315778
19,3530.12,0.93515,0.63128,0.98478,0.57756,0.48212,0.52075,0.35067,1.10223,1.93009,1.05503,0.000306354,0.000306354,0.000306354
20,3689.62,0.92643,0.61968,0.98233,0.55365,0.48201,0.51689,0.35128,1.09137,1.69433,1.04689,0.000296929,0.000296929,0.000296929
21,3845.06,0.92513,0.61576,0.97866,0.5782,0.49282,0.52097,0.35238,1.09408,1.95471,1.05144,0.000287504,0.000287504,0.000287504
22,4027.52,0.9166,0.60893,0.97866,0.58833,0.47992,0.51068,0.34544,1.09977,1.93066,1.05294,0.000278079,0.000278079,0.000278079
23,4210.51,0.91393,0.60119,0.97492,0.53184,0.50354,0.50435,0.3408,1.09439,1.89613,1.05338,0.000268654,0.000268654,0.000268654
24,4359.96,0.90561,0.59176,0.97183,0.56926,0.47147,0.50627,0.34486,1.09061,1.7212,1.05305,0.00025923,0.00025923,0.00025923
25,4510.46,0.90306,0.5884,0.97044,0.53908,0.47512,0.49594,0.33773,1.08232,2.1237,1.04415,0.000249805,0.000249805,0.000249805
26,4660.99,0.90147,0.58493,0.96975,0.55,0.48561,0.50462,0.3443,1.08041,1.92164,1.04636,0.00024038,0.00024038,0.00024038
27,4810.72,0.89603,0.57755,0.96896,0.54742,0.47211,0.48982,0.32957,1.10593,2.07373,1.05846,0.000230955,0.000230955,0.000230955
28,4975.5,0.89117,0.5723,0.9664,0.54153,0.48949,0.50283,0.34196,1.09731,2.45172,1.05734,0.00022153,0.00022153,0.00022153
29,5148.69,0.88502,0.56924,0.96499,0.56522,0.48638,0.51182,0.34891,1.0868,1.86712,1.04846,0.000212106,0.000212106,0.000212106
30,5302.3,0.88321,0.56319,0.96445,0.55444,0.48356,0.50273,0.3404,1.09248,2.3242,1.04913,0.000202681,0.000202681,0.000202681
31,5475.03,0.87684,0.55856,0.96061,0.55956,0.48523,0.50348,0.34092,1.09359,2.2639,1.05272,0.000193256,0.000193256,0.000193256
